Время (мин),Час,Остановка,Направление,Ожидало на остановке,Высадка,Посадка,Загруженность (%)
450.00,7,1,Туда,108,0,108,90.0
459.10,7,2,Туда,221,28,40,100.0
466.16,7,3,Туда,326,34,34,100.0
473.23,7,4,Туда,375,38,38,100.0
480.81,8,5,Туда,384,66,66,100.0
495.51,8,6,Туда,455,45,45,100.0
510.51,8,7,Туда,465,49,49,100.0
522.31,8,8,Туда,452,52,52,100.0
537.41,8,9,Туда,454,56,56,100.0
552.31,9,10,Туда,535,120,120,100.0
567.31,9,10,Обратно,451,27,27,100.0
579.31,9,9,Обратно,497,31,31,100.0
592.31,9,8,Обратно,448,34,34,100.0
602.61,10,7,Обратно,374,38,38,100.0
610.73,10,6,Обратно,494,42,42,100.0
618.47,10,5,Обратно,276,69,69,100.0
628.53,10,4,Обратно,496,49,49,100.0
636.67,10,3,Обратно,428,52,52,100.0
644.99,10,2,Обратно,147,56,56,100.0
653.83,10,1,Обратно,30,120,30,25.0
662.33,11,1,Туда,12,6,12,30.0
666.41,11,2,Туда,123,9,93,100.0
674.77,11,3,Туда,292,34,34,100.0
681.31,11,4,Туда,342,38,38,100.0
688.31,11,5,Туда,0,66,0,45.0
695.09,11,6,Туда,311,20,86,100.0
704.73,11,7,Туда,199,49,49,100.0
712.84,11,8,Туда,152,52,52,100.0
722.30,12,9,Туда,6,56,6,58.3
729.31,12,10,Туда,23,70,23,19.2
736.96,12,10,Обратно,12,5,12,25.0
741.87,12,9,Обратно,41,7,41,53.3
748.29,12,8,Обратно,40,18,40,71.7
754.32,12,7,Обратно,88,27,61,100.0
762.97,12,6,Обратно,51,42,42,100.0
770.66,12,5,Обратно,36,69,36,72.5
779.07,12,4,Обратно,29,35,29,67.5
785.53,13,3,Обратно,12,35,12,48.3
791.10,13,2,Обратно,29,27,29,50.0
797.07,13,1,Обратно,17,60,17,14.2
829.36,13,1,Туда,18,3,18,26.7
833.57,13,2,Туда,35,8,35,49.2
838.92,13,3,Туда,0,17,0,35.0
842.89,14,4,Туда,11,13,11,33.3
847.32,14,5,Туда,38,22,38,46.7
853.80,14,6,Туда,18,21,18,44.2
860.05,14,7,Туда,10,21,10,35.0
864.73,14,8,Туда,27,18,27,42.5
871.19,14,9,Туда,7,23,7,29.2
876.55,14,10,Туда,21,35,21,17.5
882.35,14,10,Обратно,4,4,4,17.5
886.77,14,9,Обратно,18,5,18,28.3
892.17,14,8,Обратно,15,9,15,33.3
896.62,14,7,Обратно,0,12,0,23.3
901.50,15,6,Обратно,17,9,17,30.0
906.31,15,5,Обратно,0,20,0,13.3
910.57,15,4,Обратно,18,6,18,23.3
914.99,15,3,Обратно,30,12,30,38.3
920.24,15,2,Обратно,8,21,8,27.5
924.93,15,1,Обратно,20,33,20,16.7
989.36,16,1,Туда,40,4,40,46.7
995.22,16,2,Туда,13,14,13,45.8
1000.22,16,3,Туда,46,15,46,71.7
1006.93,16,4,Туда,27,27,27,71.7
1013.33,16,5,Туда,52,47,52,75.8
1022.67,17,6,Туда,59,34,59,96.7
1037.82,17,7,Туда,122,47,51,100.0
1049.62,17,8,Туда,79,52,52,100.0
1064.72,17,9,Туда,142,56,56,100.0
1079.62,17,10,Туда,82,120,82,68.3
1092.72,18,10,Обратно,70,18,56,100.0
1105.72,18,9,Обратно,200,31,31,100.0
1118.72,18,8,Обратно,221,34,34,100.0
1129.02,18,7,Обратно,312,38,38,100.0
1143.32,19,6,Обратно,318,42,42,100.0
1151.73,19,5,Обратно,173,69,69,100.0
1162.48,19,4,Обратно,407,49,49,100.0
1171.21,19,3,Обратно,258,52,52,100.0
1180.26,19,2,Обратно,164,56,56,100.0
1189.67,19,1,Обратно,154,120,120,100.0
1202.67,20,1,Туда,49,27,27,100.0
1208.00,20,2,Туда,86,31,31,100.0
1213.77,20,3,Туда,156,34,34,100.0
1219.80,20,4,Туда,189,38,38,100.0
1226.18,20,5,Туда,12,66,12,55.0
1232.97,20,6,Туда,162,25,79,100.0
1241.53,20,7,Туда,42,49,42,94.2
1248.71,20,8,Туда,40,49,40,86.7
1256.49,20,9,Туда,3,48,3,49.2
1262.19,21,10,Туда,9,59,9,7.5
1268.59,21,10,Обратно,5,2,5,10.0
1272.13,21,9,Обратно,11,3,11,16.7
1276.01,21,8,Обратно,1,5,1,13.3
1278.99,21,7,Обратно,8,5,8,15.8
1282.94,21,6,Обратно,12,6,12,20.8
1286.73,21,5,Обратно,20,14,20,25.8
1291.03,21,4,Обратно,2,12,2,17.5
1294.32,21,3,Обратно,5,9,5,14.2
1297.63,21,2,Обратно,10,7,10,16.7
1301.16,21,1,Обратно,9,20,9,7.5
